fit_x	fit_y	fit_y
457271.489496	4.00107360453	0.00275045952542
418194.430212	4.00114843221	0.00294490537183
382456.780004	4.00122850181	0.00315315327973
349773.162921	4.00131418257	0.00337618655238
319882.590389	4.00140586986	0.00361505876827
292546.377143	4.00150398715	0.00387089881513
267546.235245	4.0016089879	0.00414491628491
244682.531	4.00172135781	0.00443840725544
223772.690808	4.00184161708	0.00475276048641
204649.743268	4.00197032289	0.00508946405936
187160.985859	4.00210807205	0.00545011249331
171166.765558	4.00225550387	0.00583641436996
156539.363678	4.0024133032	0.00625020050489
143161.975988	4.00258220371	0.00669343270351
130927.779999	4.00276299144	0.00716821314352
119739.081953	4.00295650853	0.00767679442823
109506.536711	4.00316365734	0.00822159035865
100148.434303	4.00338540477	0.00880518747501
91590.0474486	4.00362278694	0.00943035742244
83763.0348397	4.00387691426	0.010100070199
76604.8954118	4.00414897679	0.0108175083483
70058.4692553	4.00444025011	0.0115860821634
64071.4811764	4.00475210148	0.0124094459729
58596.1232635	4.00508599666	0.0132915155858
53588.6731268	4.00544350705	0.0142364869749
49009.1447617	4.00582631752	0.0152488562872
44820.9692482	4.00623623476	0.016333441272
40990.7027376	4.00667519626	0.0174954042257
37487.7593926	4.00714528006	0.0187402765596
34284.1671507	4.00764871517	0.0200739850995
31354.3443583	4.00818789283	0.0215028802404
28674.8954938	4.00876537868	0.0230337660787
26224.4243472	4.00938392583	0.0246739326604
23983.3631648	4.010046489	0.0264311904861
21933.816395	4.01075623979	0.0283139074261
20059.4177866	4.01151658316	0.0303310482064
18345.1996994	4.01233117521	0.0324922166372
16777.4735833	4.01320394249	0.0348077007642
15343.7206708	4.01413910278	0.0372885211342
14032.4920111	4.0151411877	0.039946482378
12833.3170465	4.01621506709	0.0427942283225
11736.6200021	4.01736597553	0.0458453008562
10733.64342	4.01859954104	0.0491142027845
9816.37822879	4.01992181627	0.0526164649209
8977.49978827	4.02133931237	0.0563687176722
8210.30940027	4.0228590358	0.0603887673864
7508.68081737	4.02448852836	0.0646956777432
6867.01132302	4.02623591086	0.069309856476
6280.17699213	4.02810993056	0.0742531477238
5743.49177499	4.03012001308	0.0795489303182
5252.67007771	4.03227631894	0.0852222223165
4803.79254054	4.03458980535	0.0912997920971
4393.27474048	4.0370722939	0.0978102763302
4017.8385687	4.03973654447	0.104784305139
3674.48605373	4.04259633635	0.112254634754
3360.47542184	4.04566655715	0.120256287954
3073.29920312	4.04896330038	0.128826702564
2810.66420856	4.05250397268	0.138005888259
2570.47321824	4.0563074117	0.147836591871
2350.80823443	4.06039401591	0.158364471371
2149.91516576	4.06478588751	0.169638278598
1966.18982027	4.06950699005	0.181710050771
1798.1650955	4.07458332234	0.194635310662
1644.49926316	4.08004311044	0.208473275246
1503.96525508	4.08591701983	0.223287072424
1375.44086468	4.09223838999	0.239143965269
1257.89978581	4.09904349389	0.256115582997
1150.40341739	4.1063718252	0.274278157582
1052.09336838	4.11426641622	0.293712764587
962.184603299	4.12277419002	0.314505566418
879.959173442	4.13194635041	0.336748055659
804.760483872	4.14183881383	0.360537295629
735.988050295	4.1525126876	0.385976154579
673.09270402	4.1640347993	0.413173529156
615.572206672	4.17647828235	0.442244551795
562.967239675	4.18992322341	0.473310775584
514.857736448	4.20445737711	0.506500328843
470.859528048	4.22017695431	0.541948030103
430.621275468	4.23718748981	0.57979545244
393.821664084	4.25560479557	0.620190924026
360.166837863	4.27555600533	0.663289449458
329.388052834	4.29718071572	0.70925253372
301.239531083	4.32063222838	0.758247887626
275.496498147	4.34607889592	0.810448990221
251.953388117	4.3737055729	0.866034479859
230.422202136	4.40371516979	0.925187341625
210.731007168	4.43633030456	0.988093854386
192.722563061	4.47179504131	1.05494225623
176.253066941	4.51037669901	1.12592108243
161.191004897	4.5523677054	1.20121712573
147.416101805	4.5980874608	1.28101296472
134.818360896	4.64788416414	1.36548400324
123.297185397	4.70213653844	1.45479496234
112.760575234	4.76125537516	1.549095767
103.124392388	4.8256847957	1.64851677432
94.3116890211	4.89590310522	1.75316329834
86.2520930311	4.97242308741	1.86310940118
78.881246105	5.05579156152	1.9783909425
72.1402897995	5.14658799505	2.09899791031
65.9753955386	5.24542193938	2.22486609895
60.3373347761	5.35292903469	2.35586825451
55.1810858906	5.46976531818	2.49180487707
50.4654746744	5.59659957126	2.63239495088
46.152845545	5.73410346334	2.7772669686
42.2087608537	5.88293929816	2.92595071885
38.6017258908	6.04374525104	3.07787041249
35.3029373904	6.21711810765	3.232339822
32.2860535282	6.4035936807	3.38856018704
29.5269835736	6.60362529038	3.54562168119
27.003695518	6.81756094206	3.70250922082
24.6960401429	7.04562010556	3.85811330711
22.5855901216	7.28787127327	4.01124640968
20.6554928721	7.54421171536	4.16066511485
18.8903359838	7.81435102205	4.30509787363
17.2760241448	8.09780008051	4.44327771179
15.7996665865	8.39386704014	4.57397874106
14.4494741471	8.70166154535	4.69605479116
13.2146651314	9.02010805464	4.80847803328
12.0853792157	9.34796843722	4.9103751609
11.0525987101	9.68387329778	5.00105859703
10.10807655	10.0263607023	5.0800503541
9.2442704399	10.3739202618	5.14709659267
8.45428262672	10.7250399705	5.20217157993
7.73180481868	11.078252879	5.24547057042
7.07106781187	11.432180647	5.27739202085
6.46679542132	11.7855712884	5.29851040109
5.91416234915	12.1373289373	5.30954157028
5.40875565304	12.4865341705	5.31130317394
4.94653950757	12.8324542104	5.3046727449
4.52382297696	13.174543119	5.29054615694
4.13723054178	13.5124327835	5.26979882077
3.78367514446	13.8459160346	5.24325158573
3.46033353815	14.1749235994	5.2116427883
3.16462374229	14.4994967673	5.17560733615
2.89418442466	14.819757667	5.13566319069
2.64685604549	15.1358789383	5.09220515049
2.4206636128	15.4480543862	5.04550546264
2.21380091159	15.7564719482	4.99572050646
2.02461608058	16.0612900284	4.94290259787
1.85159842165	16.3626179727	4.88701584241
1.69336633644	16.6605011862	4.82795490793
1.54865629385	16.9549111451	4.76556558149
1.41631274041	17.2457403174	4.69966601085
1.2952788728	17.5328018039	4.63006760148
1.18458819896	17.8158333176	4.55659464196
1.08335682035	18.0945049681	4.47910186009
0.990776373799	18.3684301815	4.39748926614
0.90610757641	18.6371790006	4.31171381256
0.828674322217	18.9002929498	4.22179758538
0.757858283255	19.1573006443	4.1278324313
0.693093972022	19.4077333493	4.02998110751
0.633864225895	19.6511397708	3.92847520642
0.579696077427	19.8870994628	3.82361024612
0.53015697756	20.1152343688	3.71573842246
0.484851341592	20.3352181595	3.60525958386
0.443417390308	20.5467831811	3.49261101662
